"X" "Y" "Z"
-1.70551610572352 0.928528580676622 0.0178443086753138
-1.70632772603529 0.947721989523328 0.000732560838942253
-1.69095568111527 0.955696175815437 -0.001707346581712
-1.69271989319932 0.91144484705595 0.0188374618347189
-1.67177876952503 0.909986841865293 0.0256103514103958
-1.6792093905836 0.9114685752912 0.0256085393357245
-1.71065403575101 0.917082935433564 0.00512913146708358
-1.7109006809349 0.955947767835183 0.00317313975838896
-1.67664864792854 0.95216397089094 0.0110119603256094
-1.67896261972908 0.925405166162649 0.02615803852173
-1.71071452280247 0.901211272177003 0.0310733053027105
-1.70843901056794 0.944244605206984 0.0217618005158371
-1.68988283608313 0.957268738588933 0.00998649282995497
-1.70796422386553 0.937414752550768 0.0163311682633543
-1.6983179660146 0.899643449837485 0.0330012296143442
-1.69221883774214 0.918145577562736 0.0348351941516154
-1.69631649843958 0.935931910233558 0.0227322299103488
-1.7066250535254 0.949179948910938 0.00756765667391162
-1.70412277258464 0.924998301374834 0.0090502331956429
-1.70054354082876 0.921953776061744 0.00903929891629487
-1.69783458613715 0.913413181107734 0.0212108839156541
-1.70012720929104 0.911506695969732 0.0212183368598577
-1.67917159786931 0.932852905132123 0.0284928940289186
-1.67751379305349 0.942101025073786 0.00658549776450925
-1.69959531172632 0.931491768101528 -0.00953397921325247
-1.73481466304777 0.903675700031973 -0.00317814930260248
-1.70723784931012 0.905903154965302 0.0139308506186983
-1.67752571631503 0.925505768553851 0.0207968634840845
-1.66545285561397 0.933198950389633 0.0188101593906018
-1.7027113032948 0.918648426194023 0.00659588305762701
-1.71998637726869 0.94143494786925 -0.0021956544726483
-1.7138234356384 0.896121131533172 0.00317204835267534
-1.70523178911197 0.934045906431537 0.0114564886501322
-1.64924384748245 0.918551248325013 0.0168639450679584
-1.68599996608329 0.92895900462679 0.0158456713151253
-1.72837778691732 0.915727183137695 0.00807366031194452
-1.71180483551229 0.924967243216717 0.00170790873428495
-1.70393482309779 0.925304852128303 0.00171247602162083
-1.66913886746099 0.909261760043286 0.00905452252004459
-1.67943251914378 0.926656975357268 0.0114598575648589
-1.70692775192376 0.906385922168425 0.00756325273971863
-1.70611776757473 0.947634247122337 0.00171001530890451
-1.70448541171139 0.948536673944469 0.00171042520108995
-1.70117607439579 0.928403457602336 0.0104758626748588
-1.67786923639455 0.92523371148613 0.0212168843072359
-1.67200656197787 0.928633585995793 0.0212728684498245
-1.69529967894221 0.897384457289702 0.0144197103831219
-1.7063728009212 0.958639693600589 -0.00660194504066653
-1.68419327852517 0.92418644434176 -0.00560842767522426
-1.68048317080437 0.934712406007653 0.00512836351307099
-1.67592022300227 0.893795379088017 0.0251608151501921
-1.67149720935418 0.921438474862142 0.0153735877788104
-1.69932737884163 0.940559607121132 0.00268295110666766
-1.69416404063389 0.91899903720806 -0.00657903900029734
-1.70460104731171 0.941933137530353 0.00562655096425613
-1.67019872078252 0.905999440785119 0.0216744147343481
-1.67641998223249 0.920928629554542 0.0280308808166597
-1.67094502874679 0.927338593691886 0.017377203323476
-1.6768219372666 0.939440335740437 0.000731158242139388
-1.68423710639515 0.949015002187575 -0.00219294089815896
-1.69632249254772 0.889669499967297 0.0100113792381424
-1.68001368744338 0.940704639830441 0.0134180901804564
-1.66946974107837 0.9051710388646 0.0134461370287029
-1.67726630984202 0.953858482572249 0.00611169331967595
-1.70387039602032 0.892839536689629 0.00561659734600157
-1.68081058977299 0.95402196271436 0.00219361889587345
-1.68177922521892 0.950971515635775 0.00219515306880562
-1.67530980508549 0.908438109928474 0.0100193393688117
